typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20230101","2023","1","202301","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","104465.23","false","8","kg","104465.23","false","104465.23","false","0","false","658395.95","601581.25","658395.95","0","false","true",
"C","M","20230201","2023","2","202302","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","166705.45","false","8","kg","166705.45","false","166705.45","false","0","false","843474.01","776402.24","843474.01","0","false","true",
"C","M","20230301","2023","3","202303","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","129075.11","false","8","kg","129075.11","false","129075.11","false","0","false","721527.58","665551.99","721527.58","0","false","true",
"C","M","20230401","2023","4","202304","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","232841.32","false","8","kg","232841.32","false","232841.32","false","0","false","1241014.2","1158358.17","1241014.2","0","false","true",
"C","M","20230501","2023","5","202305","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","259765.22","false","8","kg","259765.22","false","259765.22","false","0","false","1306436.49","1206343.4","1306436.49","0","false","true",
"C","M","20230601","2023","6","202306","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","272510.23","false","8","kg","272510.23","false","272510.23","false","0","false","1389814.79","1298563.03","1389814.79","0","false","true",
"C","M","20230701","2023","7","202307","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","211172.08","false","8","kg","211172.08","false","211172.08","false","0","false","1236460.5","1161807","1236460.5","0","false","true",
"C","M","20230801","2023","8","202308","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","166912.12","false","8","kg","166912.12","false","166912.12","false","0","false","1163197.03","1116768.31","1163197.03","0","false","true",
"C","M","20230901","2023","9","202309","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","150221.06","false","8","kg","150221.06","false","150221.06","false","0","false","815262.18","778136.65","815262.18","0","false","true",
"C","M","20231001","2023","10","202310","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","93765.26","false","8","kg","93765.26","false","93765.26","false","0","false","700562.22","668628.96","700562.22","0","false","true",
"C","M","20231101","2023","11","202311","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","98815.9","false","8","kg","98815.9","false","98815.9","false","0","false","574240.52","550366.37","574240.52","0","false","true",
"C","M","20231201","2023","12","202312","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H6","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","127082.22","false","8","kg","127082.22","false","127082.22","false","0","false","945043.74","902634.31","945043.74","0","false","true",
