typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20140101","2014","1","201401","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","168985.76","false","0","false","780670.64","0","780670.64","0","false","true",
"C","M","20140201","2014","2","201402","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","156998.6","false","0","false","688164.7","0","688164.7","0","false","true",
"C","M","20140301","2014","3","201403","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","179151.72","false","0","false","841705.65","0","841705.65","0","false","true",
"C","M","20140401","2014","4","201404","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","216447.13","false","0","false","1057943.67","0","1057943.67","0","false","true",
"C","M","20140501","2014","5","201405","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","233282.66","false","0","false","1049780.52","0","1049780.52","0","false","true",
"C","M","20140601","2014","6","201406","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","164552.15","false","0","false","725268.3","0","725268.3","0","false","true",
"C","M","20140701","2014","7","201407","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","194836.91","false","0","false","974679.71","0","974679.71","0","false","true",
"C","M","20140801","2014","8","201408","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","234812.49","false","0","false","1276564.53","0","1276564.53","0","false","true",
"C","M","20140901","2014","9","201409","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","185283.9","false","0","false","1010815.18","0","1010815.18","0","false","true",
"C","M","20141001","2014","10","201410","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","258988.16","false","0","false","1334483.78","0","1334483.78","0","false","true",
"C","M","20141101","2014","11","201411","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","306962.42","false","0","false","1716267.32","0","1716267.32","0","false","true",
"C","M","20141201","2014","12","201412","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H4","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","325347.38","false","0","false","1710900.4","0","1710900.4","0","false","true",
