typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20170101","2017","1","201701","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172164.63","false","8","kg","172164.63","false","172164.63","false","0","false","808775.64","772432.15","808775.64","0","false","true",
"C","M","20170201","2017","2","201702","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","157028.55","false","8","kg","157028.55","false","157028.55","false","0","false","877718.23","842435.7","877718.23","0","false","true",
"C","M","20170301","2017","3","201703","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","181998.9","false","8","kg","181998.9","false","181998.9","false","0","false","789107.49","755661.78","789107.49","0","false","true",
"C","M","20170401","2017","4","201704","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","110750.21","false","8","kg","110750.21","false","110750.21","false","0","false","582367.92","559800.28","582367.92","0","false","true",
"C","M","20170501","2017","5","201705","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","168731.56","false","8","kg","168731.56","false","168731.56","false","0","false","554422.98","527669.2","554422.98","0","false","true",
"C","M","20170601","2017","6","201706","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","315730.93","false","8","kg","315730.93","false","315730.93","false","0","false","1204665.13","1161464.85","1204665.13","0","false","true",
"C","M","20170701","2017","7","201707","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","207558.88","false","8","kg","207558.88","false","207558.88","false","0","false","963503.38","925587.81","963503.38","0","false","true",
"C","M","20170801","2017","8","201708","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","244014.16","false","8","kg","244014.16","false","244014.16","false","0","false","1052038.08","1007213.11","1052038.08","0","false","true",
"C","M","20170901","2017","9","201709","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","277988.02","false","8","kg","277988.02","false","277988.02","false","0","false","1337379.28","1283598.44","1337379.28","0","false","true",
"C","M","20171001","2017","10","201710","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","309256.44","false","8","kg","309256.44","false","309256.44","false","0","false","1147578.5","1101255.36","1147578.5","0","false","true",
"C","M","20171101","2017","11","201711","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","172581.66","false","8","kg","172581.66","false","172581.66","false","0","false","961183.46","921444.71","961183.46","0","false","true",
"C","M","20171201","2017","12","201712","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","162662.17","false","8","kg","162662.17","false","162662.17","false","0","false","624182.34","598580.59","624182.34","0","false","true",
