typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","M","20180101","2018","1","201801","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","229630.42","false","8","kg","229630.42","false","229630.42","false","0","false","1056870.71","1013477.08","1056870.71","0","false","true",
"C","M","20180201","2018","2","201802","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","179088.99","false","8","kg","179088.99","false","179088.99","false","0","false","775716.55","741540.96","775716.55","0","false","true",
"C","M","20180301","2018","3","201803","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","185046.36","false","8","kg","185046.36","false","185046.36","false","0","false","905748.94","870299.27","905748.94","0","false","true",
"C","M","20180401","2018","4","201804","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","249913.58","false","8","kg","249913.58","false","249913.58","false","0","false","1091639.54","1052517.44","1091639.54","0","false","true",
"C","M","20180501","2018","5","201805","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","221107.88","false","8","kg","221107.88","false","221107.88","false","0","false","803998.11","769756.87","803998.11","0","false","true",
"C","M","20180601","2018","6","201806","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","254435.66","false","8","kg","254435.66","false","254435.66","false","0","false","1013581.61","959548.73","1013581.61","0","false","true",
"C","M","20180701","2018","7","201807","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","338445.14","false","8","kg","338445.14","false","338445.14","false","0","false","1295917.25","1249413.31","1295917.25","0","false","true",
"C","M","20180801","2018","8","201808","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","398617.64","false","8","kg","398617.64","false","398617.64","false","0","false","1512581.62","1440605.14","1512581.62","0","false","true",
"C","M","20180901","2018","9","201809","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","215738.15","false","8","kg","215738.15","false","215738.15","false","0","false","895835.91","861431.44","895835.91","0","false","true",
"C","M","20181001","2018","10","201810","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","284912.73","false","8","kg","284912.73","false","284912.73","false","0","false","1492976.44","1421966.79","1492976.44","0","false","true",
"C","M","20181101","2018","11","201811","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","145073.39","false","8","kg","145073.39","false","145073.39","false","0","false","892637.69","858475.77","892637.69","0","false","true",
"C","M","20181201","2018","12","201812","170","COL","Colombia","M","Import","0","W00","World","0","W00","World","H5","HS","true","180631","Chocolate and other food preparations containing cocoa; in blocks, slabs or bars, filled, weighing 2kg or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","189993.63","false","8","kg","189993.63","false","189993.63","false","0","false","748295.13","702724.63","748295.13","0","false","true",
