"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","008","ALB","Albania","180631","000","WLD","World",2013,"Gross Exports",51.662
"H4","032","ARG","Argentina","180631","000","WLD","World",2013,"Gross Exports",705.744
"H4","036","AUS","Australia","180631","000","WLD","World",2013,"Gross Exports",55767.089
"H4","040","AUT","Austria","180631","000","WLD","World",2013,"Gross Exports",188258.824220752
"H4","048","BHR","Bahrain","180631","000","WLD","World",2013,"Gross Exports",34.334
"H4","051","ARM","Armenia","180631","000","WLD","World",2013,"Gross Exports",8.03
"H4","056","BEL","Belgium","180631","000","WLD","World",2013,"Gross Exports",110184.928240049
"H4","068","BOL","Bolivia","180631","000","WLD","World",2013,"Gross Exports",0.72
"H4","070","BIH","Bosnia Herzg","180631","000","WLD","World",2013,"Gross Exports",6.542
"H4","076","BRA","Brazil","180631","000","WLD","World",2013,"Gross Exports",7531.526
"H4","096","BRN","Brunei Darsm","180631","000","WLD","World",2013,"Gross Exports",1.159
"H4","097","EUN","European Union","180631","000","WLD","World",2013,"Gross Exports",809282.459291
"H4","100","BGR","Bulgaria","180631","000","WLD","World",2013,"Gross Exports",23778.742
"H4","112","BLR","Belarus","180631","000","WLD","World",2013,"Gross Exports",9319.8
"H4","120","CMR","Cameroon","180631","000","WLD","World",2013,"Gross Exports",2615.282
"H4","124","CAN","Canada","180631","000","WLD","World",2013,"Gross Exports",132066.312
"H4","144","LKA","Sri Lanka","180631","000","WLD","World",2013,"Gross Exports",2.814
"H4","152","CHL","Chile","180631","000","WLD","World",2013,"Gross Exports",1958.72211
"H4","156","CHN","China","180631","000","WLD","World",2013,"Gross Exports",28044.269
"H4","170","COL","Colombia","180631","000","WLD","World",2013,"Gross Exports",2691.803
"H4","188","CRI","Costa Rica","180631","000","WLD","World",2013,"Gross Exports",970.48
"H4","191","HRV","Croatia","180631","000","WLD","World",2013,"Gross Exports",13266.712
"H4","196","CYP","Cyprus","180631","000","WLD","World",2013,"Gross Exports",1.272337
"H4","203","CZE","Czech Rep","180631","000","WLD","World",2013,"Gross Exports",52158.729
"H4","208","DNK","Denmark","180631","000","WLD","World",2013,"Gross Exports",42177.63
"H4","214","DOM","Dominican Rp","180631","000","WLD","World",2013,"Gross Exports",172.607
"H4","218","ECU","Ecuador","180631","000","WLD","World",2013,"Gross Exports",639.654
"H4","222","SLV","El Salvador","180631","000","WLD","World",2013,"Gross Exports",33.35376
"H4","233","EST","Estonia","180631","000","WLD","World",2013,"Gross Exports",2504.169
"H4","246","FIN","Finland","180631","000","WLD","World",2013,"Gross Exports",9264.056
"H4","251","FRA","France+Monac","180631","000","WLD","World",2013,"Gross Exports",101767.122
"H4","258","PYF","Fr.Polynesia","180631","000","WLD","World",2013,"Gross Exports",45.415
"H4","268","GEO","Georgia","180631","000","WLD","World",2013,"Gross Exports",112
"H4","276","DEU","Germany","180631","000","WLD","World",2013,"Gross Exports",1039697.45288078
"H4","288","GHA","Ghana","180631","000","WLD","World",2013,"Gross Exports",0.161
"H4","300","GRC","Greece","180631","000","WLD","World",2013,"Gross Exports",4539.258
"H4","320","GTM","Guatemala","180631","000","WLD","World",2013,"Gross Exports",186.868
"H4","344","HKG","Hong Kong","180631","000","WLD","World",2013,"Gross Exports",16324.158
"H4","348","HUN","Hungary","180631","000","WLD","World",2013,"Gross Exports",57878.622
"H4","352","ISL","Iceland","180631","000","WLD","World",2013,"Gross Exports",108.984
"H4","360","IDN","Indonesia","180631","000","WLD","World",2013,"Gross Exports",1612.414
"H4","364","IRN","Iran-Islam.R","180631","000","WLD","World",2013,"Gross Exports",33.776
"H4","372","IRL","Ireland","180631","000","WLD","World",2013,"Gross Exports",29471.939820972
"H4","376","ISR","Israel","180631","000","WLD","World",2013,"Gross Exports",2371
"H4","380","ITA","Italy","180631","000","WLD","World",2013,"Gross Exports",127614.159
"H4","392","JPN","Japan","180631","000","WLD","World",2013,"Gross Exports",15254.996
"H4","398","KAZ","Kazakhstan","180631","000","WLD","World",2013,"Gross Exports",2686.089
"H4","400","JOR","Jordan","180631","000","WLD","World",2013,"Gross Exports",504.547
"H4","410","KOR","Korea Rep.","180631","000","WLD","World",2013,"Gross Exports",5633.474
"H4","414","KWT","Kuwait","180631","000","WLD","World",2013,"Gross Exports",57.659
"H4","422","LBN","Lebanon","180631","000","WLD","World",2013,"Gross Exports",9576.051
"H4","428","LVA","Latvia","180631","000","WLD","World",2013,"Gross Exports",2942.26
"H4","440","LTU","Lithuania","180631","000","WLD","World",2013,"Gross Exports",37917.361
"H4","442","LUX","Luxemberg","180631","000","WLD","World",2013,"Gross Exports",2036.581
"H4","446","MAC","Macau","180631","000","WLD","World",2013,"Gross Exports",45.55155409553
