"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","024","AGO","Angola","180632","000","WLD","World",2019,"Gross Exports",45.098723
"H4","032","ARG","Argentina","180632","000","WLD","World",2019,"Gross Exports",4666.67947
"H4","036","AUS","Australia","180632","000","WLD","World",2019,"Gross Exports",61374.7885563198
"H4","040","AUT","Austria","180632","000","WLD","World",2019,"Gross Exports",136759.974926341
"H4","048","BHR","Bahrain","180632","000","WLD","World",2019,"Gross Exports",62.75249
"H4","051","ARM","Armenia","180632","000","WLD","World",2019,"Gross Exports",285.5408
"H4","052","BRB","Barbados","180632","000","WLD","World",2019,"Gross Exports",31.891
"H4","056","BEL","Belgium","180632","000","WLD","World",2019,"Gross Exports",247213.197451315
"H4","068","BOL","Bolivia","180632","000","WLD","World",2019,"Gross Exports",87.36587
"H4","070","BIH","Bosnia Herzg","180632","000","WLD","World",2019,"Gross Exports",2680.64909
"H4","072","BWA","Botswana","180632","000","WLD","World",2019,"Gross Exports",0.102726
"H4","076","BRA","Brazil","180632","000","WLD","World",2019,"Gross Exports",25782.228
"H4","097","EUN","European Union","180632","000","WLD","World",2019,"Gross Exports",865658.549162
"H4","100","BGR","Bulgaria","180632","000","WLD","World",2019,"Gross Exports",74371.3035774795
"H4","112","BLR","Belarus","180632","000","WLD","World",2019,"Gross Exports",16623.1
"H4","120","CMR","Cameroon","180632","000","WLD","World",2019,"Gross Exports",2079.64633
"H4","124","CAN","Canada","180632","000","WLD","World",2019,"Gross Exports",206418.775394966
"H4","132","CPV","Cape Verde","180632","000","WLD","World",2019,"Gross Exports",35.35996
"H4","144","LKA","Sri Lanka","180632","000","WLD","World",2019,"Gross Exports",5.23695194142
"H4","152","CHL","Chile","180632","000","WLD","World",2019,"Gross Exports",3796.44001169298
"H4","156","CHN","China","180632","000","WLD","World",2019,"Gross Exports",44711.251
"H4","170","COL","Colombia","180632","000","WLD","World",2019,"Gross Exports",17549.90473
"H4","188","CRI","Costa Rica","180632","000","WLD","World",2019,"Gross Exports",1226.13504
"H4","191","HRV","Croatia","180632","000","WLD","World",2019,"Gross Exports",72685.391
"H4","196","CYP","Cyprus","180632","000","WLD","World",2019,"Gross Exports",105.833651
"H4","203","CZE","Czech Rep","180632","000","WLD","World",2019,"Gross Exports",51001.561
"H4","204","BEN","Benin","180632","000","WLD","World",2019,"Gross Exports",6.935599
"H4","208","DNK","Denmark","180632","000","WLD","World",2019,"Gross Exports",13251.0829639375
"H4","214","DOM","Dominican Rp","180632","000","WLD","World",2019,"Gross Exports",2440.407197
"H4","218","ECU","Ecuador","180632","000","WLD","World",2019,"Gross Exports",2045.196292
"H4","222","SLV","El Salvador","180632","000","WLD","World",2019,"Gross Exports",1825.53196
"H4","233","EST","Estonia","180632","000","WLD","World",2019,"Gross Exports",6006.079873745
"H4","246","FIN","Finland","180632","000","WLD","World",2019,"Gross Exports",13868.2437933739
"H4","251","FRA","France+Monac","180632","000","WLD","World",2019,"Gross Exports",199748.855930604
"H4","268","GEO","Georgia","180632","000","WLD","World",2019,"Gross Exports",200.21944
"H4","275","PSE","Occ.Pal.Terr","180632","000","WLD","World",2019,"Gross Exports",485.71384
"H4","276","DEU","Germany","180632","000","WLD","World",2019,"Gross Exports",1446584.184155
"H4","288","GHA","Ghana","180632","000","WLD","World",2019,"Gross Exports",1727.27778762484
"H4","300","GRC","Greece","180632","000","WLD","World",2019,"Gross Exports",8805.838487425
"H4","320","GTM","Guatemala","180632","000","WLD","World",2019,"Gross Exports",266.544
"H4","344","HKG","Hong Kong","180632","000","WLD","World",2019,"Gross Exports",10283.09195967
"H4","348","HUN","Hungary","180632","000","WLD","World",2019,"Gross Exports",28095.928
"H4","352","ISL","Iceland","180632","000","WLD","World",2019,"Gross Exports",527.69253474855
"H4","360","IDN","Indonesia","180632","000","WLD","World",2019,"Gross Exports",7773.252074
"H4","364","IRN","Iran-Islam.R","180632","000","WLD","World",2019,"Gross Exports",2.507
"H4","372","IRL","Ireland","180632","000","WLD","World",2019,"Gross Exports",133110.5345353
"H4","376","ISR","Israel","180632","000","WLD","World",2019,"Gross Exports",3357
"H4","380","ITA","Italy","180632","000","WLD","World",2019,"Gross Exports",85976.408594543
"H4","384","CIV","Cote Divoire","180632","000","WLD","World",2019,"Gross Exports",52.50404123391
