"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H5","024","AGO","Angola","180631","000","WLD","World",2020,"Gross Exports",9.083411
"H5","031","AZE","Azerbaijan","180631","000","WLD","World",2020,"Gross Exports",23.34106
"H5","032","ARG","Argentina","180631","000","WLD","World",2020,"Gross Exports",585.12056
"H5","036","AUS","Australia","180631","000","WLD","World",2020,"Gross Exports",27910.1985685464
"H5","040","AUT","Austria","180631","000","WLD","World",2020,"Gross Exports",181783.829301635
"H5","048","BHR","Bahrain","180631","000","WLD","World",2020,"Gross Exports",325.88904
"H5","051","ARM","Armenia","180631","000","WLD","World",2020,"Gross Exports",329.24472
"H5","052","BRB","Barbados","180631","000","WLD","World",2020,"Gross Exports",0.1145
"H5","056","BEL","Belgium","180631","000","WLD","World",2020,"Gross Exports",99142.780052
"H5","068","BOL","Bolivia","180631","000","WLD","World",2020,"Gross Exports",154.94329
"H5","070","BIH","Bosnia Herzg","180631","000","WLD","World",2020,"Gross Exports",1336.79718
"H5","072","BWA","Botswana","180631","000","WLD","World",2020,"Gross Exports",0.0251
"H5","076","BRA","Brazil","180631","000","WLD","World",2020,"Gross Exports",5900.141
"H5","096","BRN","Brunei Darsm","180631","000","WLD","World",2020,"Gross Exports",0.05478
"H5","097","EUN","European Union","180631","000","WLD","World",2020,"Gross Exports",1041658.755622
"H5","100","BGR","Bulgaria","180631","000","WLD","World",2020,"Gross Exports",41598.5700220862
"H5","104","MMR","Myanmar","180631","000","WLD","World",2020,"Gross Exports",0.2296
"H5","112","BLR","Belarus","180631","000","WLD","World",2020,"Gross Exports",28665.3
"H5","120","CMR","Cameroon","180631","000","WLD","World",2020,"Gross Exports",154.73636
"H5","124","CAN","Canada","180631","000","WLD","World",2020,"Gross Exports",197563.662694
"H5","144","LKA","Sri Lanka","180631","000","WLD","World",2020,"Gross Exports",342.01709459984
"H5","152","CHL","Chile","180631","000","WLD","World",2020,"Gross Exports",5007.14700464784
"H5","156","CHN","China","180631","000","WLD","World",2020,"Gross Exports",52618.62
"H5","170","COL","Colombia","180631","000","WLD","World",2020,"Gross Exports",3793.5991
"H5","178","COG","Congo","180631","000","WLD","World",2020,"Gross Exports",30.86013
"H5","188","CRI","Costa Rica","180631","000","WLD","World",2020,"Gross Exports",668.54246
"H5","191","HRV","Croatia","180631","000","WLD","World",2020,"Gross Exports",74886.95
"H5","196","CYP","Cyprus","180631","000","WLD","World",2020,"Gross Exports",75.75043872
"H5","203","CZE","Czech Rep","180631","000","WLD","World",2020,"Gross Exports",47182.249
"H5","208","DNK","Denmark","180631","000","WLD","World",2020,"Gross Exports",32671.6604579079
"H5","214","DOM","Dominican Rp","180631","000","WLD","World",2020,"Gross Exports",122.37117
"H5","218","ECU","Ecuador","180631","000","WLD","World",2020,"Gross Exports",137.077888
"H5","222","SLV","El Salvador","180631","000","WLD","World",2020,"Gross Exports",17.92434
"H5","233","EST","Estonia","180631","000","WLD","World",2020,"Gross Exports",1727.29087
"H5","246","FIN","Finland","180631","000","WLD","World",2020,"Gross Exports",6992.908832052
"H5","251","FRA","France+Monac","180631","000","WLD","World",2020,"Gross Exports",73492.171027
"H5","258","PYF","Fr.Polynesia","180631","000","WLD","World",2020,"Gross Exports",12.699762874
"H5","268","GEO","Georgia","180631","000","WLD","World",2020,"Gross Exports",282.34893
"H5","276","DEU","Germany","180631","000","WLD","World",2020,"Gross Exports",1039942.59062077
"H5","300","GRC","Greece","180631","000","WLD","World",2020,"Gross Exports",5024.882280132
"H5","320","GTM","Guatemala","180631","000","WLD","World",2020,"Gross Exports",61.583
"H5","340","HND","Honduras","180631","000","WLD","World",2020,"Gross Exports",0.17271
"H5","344","HKG","Hong Kong","180631","000","WLD","World",2020,"Gross Exports",17492.169573536
"H5","348","HUN","Hungary","180631","000","WLD","World",2020,"Gross Exports",72042.989
"H5","352","ISL","Iceland","180631","000","WLD","World",2020,"Gross Exports",277.30937028574
"H5","360","IDN","Indonesia","180631","000","WLD","World",2020,"Gross Exports",1834.515427
"H5","372","IRL","Ireland","180631","000","WLD","World",2020,"Gross Exports",26218.565494704
"H5","376","ISR","Israel","180631","000","WLD","World",2020,"Gross Exports",554
"H5","380","ITA","Italy","180631","000","WLD","World",2020,"Gross Exports",169146.3207852
"H5","384","CIV","Cote Divoire","180631","000","WLD","World",2020,"Gross Exports",6.09746
"H5","388","JAM","Jamaica","180631","000","WLD","World",2020,"Gross Exports",2.18783
"H5","392","JPN","Japan","180631","000","WLD","World",2020,"Gross Exports",19529.06340869
"H5","398","KAZ","Kazakhstan","180631","000","WLD","World",2020,"Gross Exports",2468.00773
"H5","400","JOR","Jordan","180631","000","WLD","World",2020,"Gross Exports",1168.25376646
"H5","404","KEN","Kenya","180631","000","WLD","World",2020,"Gross Exports",56.538732
"H5","410","KOR","Korea Rep.","180631","000","WLD","World",2020,"Gross Exports",4177.462
"H5","414","KWT","Kuwait","180631","000","WLD","World",2020,"Gross Exports",160.487
"H5","417","KGZ","Kyrgyzstan","180631","000","WLD","World",2020,"Gross Exports",706.955
"H5","422","LBN","Lebanon","180631","000","WLD","World",2020,"Gross Exports",11175.458
"H5","426","LSO","Lesotho","180631","000","WLD","World",2020,"Gross Exports",1.05115062864
"H5","428","LVA","Latvia","180631","000","WLD","World",2020,"Gross Exports",9167.331004
"H5","440","LTU","Lithuania","180631","000","WLD","World",2020,"Gross Exports",39832.677
"H5","442","LUX","Luxemberg","180631","000","WLD","World",2020,"Gross Exports",1340.08251924228
"H5","446","MAC","Macau","180631","000","WLD","World",2020,"Gross Exports",5.3130125106
"H5","450","MDG","Madagascar","180631","000","WLD","World",2020,"Gross Exports",6.639271
"H5","458","MYS","Malaysia","180631","000","WLD","World",2020,"Gross Exports",18970.999727582
"H5","470","MLT","Malta","180631","000","WLD","World",2020,"Gross Exports",544.75896
"H5","480","MUS","Mauritius","180631","000","WLD","World",2020,"Gross Exports",30.08039146164
"H5","490","OAS","Asia Othr.ns","180631","000","WLD","World",2020,"Gross Exports",1280.25292390345
"H5","496","MNG","Mongolia","180631","000","WLD","World",2020,"Gross Exports",37.31305
"H5","498","MDA","Rep.Moldova","180631","000","WLD","World",2020,"Gross Exports",102.286
"H5","499","MNT","Montenegro","180631","000","WLD","World",2020,"Gross Exports",1.7435590520568
"H5","504","MAR","Morocco","180631","000","WLD","World",2020,"Gross Exports",134.9876363817
"H5","508","MOZ","Mozambique","180631","000","WLD","World",2020,"Gross Exports",24.97436
"H5","512","OMN","Oman","180631","000","WLD","World",2020,"Gross Exports",2617.490012
"H5","516","NAM","Namibia","180631","000","WLD","World",2020,"Gross Exports",0.736522
"H5","528","NLD","Netherlands","180631","000","WLD","World",2020,"Gross Exports",717989.635715484
"H5","554","NZL","New Zealand","180631","000","WLD","World",2020,"Gross Exports",10312.974346
"H5","558","NIC","Nicaragua","180631","000","WLD","World",2020,"Gross Exports",2.26869
"H5","579","NOR","Norway,Sb,JM","180631","000","WLD","World",2020,"Gross Exports",1026.4268572644
"H5","591","PAN","Panama","180631","000","WLD","World",2020,"Gross Exports",1526.969
"H5","598","PNG","Papua N.Guin","180631","000","WLD","World",2020,"Gross Exports",13.112178
"H5","600","PRY","Paraguay","180631","000","WLD","World",2020,"Gross Exports",0.684
"H5","604","PER","Peru","180631","000","WLD","World",2020,"Gross Exports",1063.72366
"H5","608","PHL","Philippines","180631","000","WLD","World",2020,"Gross Exports",48.537
"H5","616","POL","Poland","180631","000","WLD","World",2020,"Gross Exports",219075.1
"H5","620","PRT","Portugal","180631","000","WLD","World",2020,"Gross Exports",4572.089515
"H5","642","ROM","Romania","180631","000","WLD","World",2020,"Gross Exports",22911.99699
"H5","643","RUS","Russian Fed","180631","000","WLD","World",2020,"Gross Exports",144925.232248
"H5","688","SER","Yugoslavia","180631","000","WLD","World",2020,"Gross Exports",11479.29
"H5","699","IND","India","180631","000","WLD","World",2020,"Gross Exports",3675.56701781808
"H5","702","SGP","Singapore","180631","000","WLD","World",2020,"Gross Exports",28337.40443205
"H5","703","SVK","Slovakia","180631","000","WLD","World",2020,"Gross Exports",38303.61025
"H5","704","VNM","Viet Nam","180631","000","WLD","World",2020,"Gross Exports",68.64775
"H5","705","SVN","Slovenia","180631","000","WLD","World",2020,"Gross Exports",3033.71865
"H5","710","ZAF","South Africa","180631","000","WLD","World",2020,"Gross Exports",13495.836121535
"H5","724","ESP","Spain","180631","000","WLD","World",2020,"Gross Exports",51183.492428
"H5","748","SWZ","Swaziland","180631","000","WLD","World",2020,"Gross Exports",0.10401
"H5","752","SWE","Sweden","180631","000","WLD","World",2020,"Gross Exports",87357.120364
"H5","757","CHE","Switz.Liecht","180631","000","WLD","World",2020,"Gross Exports",39194.4491880203
"H5","764","THA","Thailand","180631","000","WLD","World",2020,"Gross Exports",5974.250254
"H5","768","TGO","Togo","180631","000","WLD","World",2020,"Gross Exports",12.51423
"H5","784","ARE","Untd Arab Em","180631","000","WLD","World",2020,"Gross Exports",97899.1419038034
"H5","788","TUN","Tunisia","180631","000","WLD","World",2020,"Gross Exports",5111.76663
"H5","792","TUR","Turkey","180631","000","WLD","World",2020,"Gross Exports",116155.802
"H5","800","UGA","Uganda","180631","000","WLD","World",2020,"Gross Exports",8.532
"H5","804","UKR","Ukraine","180631","000","WLD","World",2020,"Gross Exports",26470.49203
"H5","807","MKD","TFYR Macedna","180631","000","WLD","World",2020,"Gross Exports",1622.6407
"H5","826","GBR","Untd.Kingdom","180631","000","WLD","World",2020,"Gross Exports",137874.231699383
"H5","834","TZA","Tanzania","180631","000","WLD","World",2020,"Gross Exports",14.34123
"H5","842","USA","USA,PR,USVI","180631","000","WLD","World",2020,"Gross Exports",121606.506
"H5","858","URY","Uruguay","180631","000","WLD","World",2020,"Gross Exports",4.767
"H5","860","UZB","Uzbekistan","180631","000","WLD","World",2020,"Gross Exports",307.20099
"H5","894","ZMB","Zambia","180631","000","WLD","World",2020,"Gross Exports",15.732686
