"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","024","AGO","Angola","180631","000","WLD","World",2018,"Gross Exports",0.0119864266488
"H4","031","AZE","Azerbaijan","180631","000","WLD","World",2018,"Gross Exports",10.51254
"H4","032","ARG","Argentina","180631","000","WLD","World",2018,"Gross Exports",1003.56572
"H4","036","AUS","Australia","180631","000","WLD","World",2018,"Gross Exports",43410.46553363
"H4","040","AUT","Austria","180631","000","WLD","World",2018,"Gross Exports",151001.91719055
"H4","048","BHR","Bahrain","180631","000","WLD","World",2018,"Gross Exports",33.9413791486
"H4","051","ARM","Armenia","180631","000","WLD","World",2018,"Gross Exports",168.8453
"H4","056","BEL","Belgium","180631","000","WLD","World",2018,"Gross Exports",102349.361907612
"H4","068","BOL","Bolivia","180631","000","WLD","World",2018,"Gross Exports",359.17914
"H4","070","BIH","Bosnia Herzg","180631","000","WLD","World",2018,"Gross Exports",0.75435
"H4","072","BWA","Botswana","180631","000","WLD","World",2018,"Gross Exports",0.316055
"H4","076","BRA","Brazil","180631","000","WLD","World",2018,"Gross Exports",8730.844
"H4","097","EUN","European Union","180631","000","WLD","World",2018,"Gross Exports",806962.505314
"H4","100","BGR","Bulgaria","180631","000","WLD","World",2018,"Gross Exports",37555.750362172
"H4","112","BLR","Belarus","180631","000","WLD","World",2018,"Gross Exports",21701.8
"H4","120","CMR","Cameroon","180631","000","WLD","World",2018,"Gross Exports",865.109996915
"H4","124","CAN","Canada","180631","000","WLD","World",2018,"Gross Exports",199774.087323642
"H4","152","CHL","Chile","180631","000","WLD","World",2018,"Gross Exports",2604.21621082253
"H4","156","CHN","China","180631","000","WLD","World",2018,"Gross Exports",53817.367
"H4","170","COL","Colombia","180631","000","WLD","World",2018,"Gross Exports",5734.45717
"H4","178","COG","Congo","180631","000","WLD","World",2018,"Gross Exports",9.2797408271
"H4","188","CRI","Costa Rica","180631","000","WLD","World",2018,"Gross Exports",2084.41982
"H4","191","HRV","Croatia","180631","000","WLD","World",2018,"Gross Exports",61424.39
"H4","196","CYP","Cyprus","180631","000","WLD","World",2018,"Gross Exports",0.442858
"H4","203","CZE","Czech Rep","180631","000","WLD","World",2018,"Gross Exports",42787.689
"H4","208","DNK","Denmark","180631","000","WLD","World",2018,"Gross Exports",34646.5306947232
"H4","214","DOM","Dominican Rp","180631","000","WLD","World",2018,"Gross Exports",70.06902
"H4","218","ECU","Ecuador","180631","000","WLD","World",2018,"Gross Exports",170.23082
"H4","222","SLV","El Salvador","180631","000","WLD","World",2018,"Gross Exports",58.0289
"H4","233","EST","Estonia","180631","000","WLD","World",2018,"Gross Exports",2078.60772689539
"H4","246","FIN","Finland","180631","000","WLD","World",2018,"Gross Exports",6131.89094404536
"H4","251","FRA","France+Monac","180631","000","WLD","World",2018,"Gross Exports",90246.8189473413
"H4","258","PYF","Fr.Polynesia","180631","000","WLD","World",2018,"Gross Exports",40.95747986265
"H4","268","GEO","Georgia","180631","000","WLD","World",2018,"Gross Exports",551.80958
"H4","275","PSE","Occ.Pal.Terr","180631","000","WLD","World",2018,"Gross Exports",5122.25784833108
"H4","276","DEU","Germany","180631","000","WLD","World",2018,"Gross Exports",1257949.63171841
"H4","288","GHA","Ghana","180631","000","WLD","World",2018,"Gross Exports",78.4362318117504
"H4","300","GRC","Greece","180631","000","WLD","World",2018,"Gross Exports",3795.926853946
"H4","308","GRD","Grenada","180631","000","WLD","World",2018,"Gross Exports",10.32406375
"H4","320","GTM","Guatemala","180631","000","WLD","World",2018,"Gross Exports",82.269
"H4","340","HND","Honduras","180631","000","WLD","World",2018,"Gross Exports",1.17936
"H4","344","HKG","Hong Kong","180631","000","WLD","World",2018,"Gross Exports",11547.7970840712
"H4","348","HUN","Hungary","180631","000","WLD","World",2018,"Gross Exports",55255.991
"H4","352","ISL","Iceland","180631","000","WLD","World",2018,"Gross Exports",359.16311798952
"H4","360","IDN","Indonesia","180631","000","WLD","World",2018,"Gross Exports",2425.06821
"H4","364","IRN","Iran-Islam.R","180631","000","WLD","World",2018,"Gross Exports",124.743
"H4","372","IRL","Ireland","180631","000","WLD","World",2018,"Gross Exports",33344.044875452
"H4","376","ISR","Israel","180631","000","WLD","World",2018,"Gross Exports",184
"H4","380","ITA","Italy","180631","000","WLD","World",2018,"Gross Exports",157379.539571
"H4","388","JAM","Jamaica","180631","000","WLD","World",2018,"Gross Exports",0.94054
"H4","392","JPN","Japan","180631","000","WLD","World",2018,"Gross Exports",22619.55598056
"H4","398","KAZ","Kazakhstan","180631","000","WLD","World",2018,"Gross Exports",3410.83996
"H4","400","JOR","Jordan","180631","000","WLD","World",2018,"Gross Exports",949.655129005
"H4","404","KEN","Kenya","180631","000","WLD","World",2018,"Gross Exports",167.503552773702
"H4","410","KOR","Korea Rep.","180631","000","WLD","World",2018,"Gross Exports",6908.314
"H4","414","KWT","Kuwait","180631","000","WLD","World",2018,"Gross Exports",1964.433
"H4","417","KGZ","Kyrgyzstan","180631","000","WLD","World",2018,"Gross Exports",0.098
"H4","422","LBN","Lebanon","180631","000","WLD","World",2018,"Gross Exports",13070.3910962243
"H4","426","LSO","Lesotho","180631","000","WLD","World",2018,"Gross Exports",0.40373503248
"H4","428","LVA","Latvia","180631","000","WLD","World",2018,"Gross Exports",8211.706953
"H4","440","LTU","Lithuania","180631","000","WLD","World",2018,"Gross Exports",39249.314
"H4","442","LUX","Luxemberg","180631","000","WLD","World",2018,"Gross Exports",1781.6378865825
"H4","450","MDG","Madagascar","180631","000","WLD","World",2018,"Gross Exports",8.426829
"H4","458","MYS","Malaysia","180631","000","WLD","World",2018,"Gross Exports",52466.3947318025
"H4","480","MUS","Mauritius","180631","000","WLD","World",2018,"Gross Exports",4.795697996
"H4","484","MEX","Mexico","180631","000","WLD","World",2018,"Gross Exports",10818.657
"H4","490","OAS","Asia Othr.ns","180631","000","WLD","World",2018,"Gross Exports",2180.05263
"H4","496","MNG","Mongolia","180631","000","WLD","World",2018,"Gross Exports",23.86709
"H4","498","MDA","Rep.Moldova","180631","000","WLD","World",2018,"Gross Exports",255.667
"H4","504","MAR","Morocco","180631","000","WLD","World",2018,"Gross Exports",218.954471
"H4","508","MOZ","Mozambique","180631","000","WLD","World",2018,"Gross Exports",4.58173
"H4","512","OMN","Oman","180631","000","WLD","World",2018,"Gross Exports",2417.414607
"H4","516","NAM","Namibia","180631","000","WLD","World",2018,"Gross Exports",41.8617498392882
"H4","528","NLD","Netherlands","180631","000","WLD","World",2018,"Gross Exports",815598.205632
"H4","531","CUW","","180631","000","WLD","World",2018,"Gross Exports",20.558601
"H4","554","NZL","New Zealand","180631","000","WLD","World",2018,"Gross Exports",10433.294969
"H4","558","NIC","Nicaragua","180631","000","WLD","World",2018,"Gross Exports",16.76352
"H4","562","NER","Niger","180631","000","WLD","World",2018,"Gross Exports",16.22942
"H4","566","NGA","Nigeria","180631","000","WLD","World",2018,"Gross Exports",66.831578
"H4","579","NOR","Norway,Sb,JM","180631","000","WLD","World",2018,"Gross Exports",2161.90123407248
"H4","591","PAN","Panama","180631","000","WLD","World",2018,"Gross Exports",7205.272
"H4","600","PRY","Paraguay","180631","000","WLD","World",2018,"Gross Exports",6.999
"H4","604","PER","Peru","180631","000","WLD","World",2018,"Gross Exports",522.55096
"H4","608","PHL","Philippines","180631","000","WLD","World",2018,"Gross Exports",521.328
"H4","616","POL","Poland","180631","000","WLD","World",2018,"Gross Exports",199689.937
"H4","620","PRT","Portugal","180631","000","WLD","World",2018,"Gross Exports",3138.15744775431
"H4","642","ROM","Romania","180631","000","WLD","World",2018,"Gross Exports",17610.13749
"H4","643","RUS","Russian Fed","180631","000","WLD","World",2018,"Gross Exports",142035.23423
"H4","646","RWA","Rwanda","180631","000","WLD","World",2018,"Gross Exports",0.02328046345
"H4","682","SAU","Saudi Arabia","180631","000","WLD","World",2018,"Gross Exports",91.500545
"H4","686","SEN","Senegal","180631","000","WLD","World",2018,"Gross Exports",14.10384279955
"H4","688","SER","Yugoslavia","180631","000","WLD","World",2018,"Gross Exports",13369.9
"H4","699","IND","India","180631","000","WLD","World",2018,"Gross Exports",8311.841336
"H4","702","SGP","Singapore","180631","000","WLD","World",2018,"Gross Exports",49341.5639614153
"H4","703","SVK","Slovakia","180631","000","WLD","World",2018,"Gross Exports",37857.488092
"H4","704","VNM","Viet Nam","180631","000","WLD","World",2018,"Gross Exports",93.46712
"H4","705","SVN","Slovenia","180631","000","WLD","World",2018,"Gross Exports",2914.95457
"H4","710","ZAF","South Africa","180631","000","WLD","World",2018,"Gross Exports",17480.2042426827
"H4","716","ZWE","Zimbabwe","180631","000","WLD","World",2018,"Gross Exports",136.0857
"H4","724","ESP","Spain","180631","000","WLD","World",2018,"Gross Exports",76845.2825235534
"H4","748","SWZ","Swaziland","180631","000","WLD","World",2018,"Gross Exports",1078.99163635115
"H4","752","SWE","Sweden","180631","000","WLD","World",2018,"Gross Exports",77292.2957912
"H4","757","CHE","Switz.Liecht","180631","000","WLD","World",2018,"Gross Exports",40664.8045944768
"H4","764","THA","Thailand","180631","000","WLD","World",2018,"Gross Exports",11423.48484
"H4","780","TTO","Trinidad Tbg","180631","000","WLD","World",2018,"Gross Exports",11441.3137605564
"H4","784","ARE","Untd Arab Em","180631","000","WLD","World",2018,"Gross Exports",31989.2428244438
"H4","788","TUN","Tunisia","180631","000","WLD","World",2018,"Gross Exports",5793.70476095896
"H4","792","TUR","Turkey","180631","000","WLD","World",2018,"Gross Exports",96103.776
"H4","800","UGA","Uganda","180631","000","WLD","World",2018,"Gross Exports",30.61773
"H4","804","UKR","Ukraine","180631","000","WLD","World",2018,"Gross Exports",22440.75472
"H4","807","MKD","TFYR Macedna","180631","000","WLD","World",2018,"Gross Exports",315.64999
"H4","818","EGY","Egypt","180631","000","WLD","World",2018,"Gross Exports",57007.156142
"H4","826","GBR","Untd.Kingdom","180631","000","WLD","World",2018,"Gross Exports",122304.560475694
"H4","842","USA","USA,PR,USVI","180631","000","WLD","World",2018,"Gross Exports",192343.97
"H4","860","UZB","Uzbekistan","180631","000","WLD","World",2018,"Gross Exports",61.4
"H4","882","WSM","Samoa","180631","000","WLD","World",2018,"Gross Exports",7.25836372128
