"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","012","DZA","Algeria","180632","000","WLD","World",2017,"Gross Exports",310.15645
"H4","031","AZE","Azerbaijan","180632","000","WLD","World",2017,"Gross Exports",46.79158
"H4","032","ARG","Argentina","180632","000","WLD","World",2017,"Gross Exports",7689.51184
"H4","036","AUS","Australia","180632","000","WLD","World",2017,"Gross Exports",20463.8225865288
"H4","040","AUT","Austria","180632","000","WLD","World",2017,"Gross Exports",171193.687256059
"H4","044","BHS","Bahamas","180632","000","WLD","World",2017,"Gross Exports",0.011
"H4","048","BHR","Bahrain","180632","000","WLD","World",2017,"Gross Exports",153.8881989142
"H4","051","ARM","Armenia","180632","000","WLD","World",2017,"Gross Exports",298.04864
"H4","056","BEL","Belgium","180632","000","WLD","World",2017,"Gross Exports",283503.902952318
"H4","068","BOL","Bolivia","180632","000","WLD","World",2017,"Gross Exports",62.57306
"H4","070","BIH","Bosnia Herzg","180632","000","WLD","World",2017,"Gross Exports",3950.48125
"H4","076","BRA","Brazil","180632","000","WLD","World",2017,"Gross Exports",24321.191
"H4","084","BLZ","Belize","180632","000","WLD","World",2017,"Gross Exports",0.12505
"H4","097","EUN","European Union","180632","000","WLD","World",2017,"Gross Exports",672880.721229
"H4","100","BGR","Bulgaria","180632","000","WLD","World",2017,"Gross Exports",47300.924544516
"H4","104","MMR","Myanmar","180632","000","WLD","World",2017,"Gross Exports",2.44953
"H4","112","BLR","Belarus","180632","000","WLD","World",2017,"Gross Exports",13862
"H4","120","CMR","Cameroon","180632","000","WLD","World",2017,"Gross Exports",1040.1923
"H4","124","CAN","Canada","180632","000","WLD","World",2017,"Gross Exports",224720.253342562
"H4","144","LKA","Sri Lanka","180632","000","WLD","World",2017,"Gross Exports",0.07770585082
"H4","152","CHL","Chile","180632","000","WLD","World",2017,"Gross Exports",3488.97868366009
"H4","156","CHN","China","180632","000","WLD","World",2017,"Gross Exports",26270.959
"H4","170","COL","Colombia","180632","000","WLD","World",2017,"Gross Exports",15373.04099
"H4","178","COG","Congo","180632","000","WLD","World",2017,"Gross Exports",54.90558006138
"H4","188","CRI","Costa Rica","180632","000","WLD","World",2017,"Gross Exports",1747.16194646463
"H4","191","HRV","Croatia","180632","000","WLD","World",2017,"Gross Exports",54874.849
"H4","196","CYP","Cyprus","180632","000","WLD","World",2017,"Gross Exports",103.888854
"H4","203","CZE","Czech Rep","180632","000","WLD","World",2017,"Gross Exports",45801.818
"H4","204","BEN","Benin","180632","000","WLD","World",2017,"Gross Exports",30.17631006444
"H4","208","DNK","Denmark","180632","000","WLD","World",2017,"Gross Exports",24096.181359
"H4","214","DOM","Dominican Rp","180632","000","WLD","World",2017,"Gross Exports",1155.3004579
"H4","218","ECU","Ecuador","180632","000","WLD","World",2017,"Gross Exports",1431.15736
"H4","222","SLV","El Salvador","180632","000","WLD","World",2017,"Gross Exports",1491.45773
"H4","233","EST","Estonia","180632","000","WLD","World",2017,"Gross Exports",3599.4210720983
"H4","246","FIN","Finland","180632","000","WLD","World",2017,"Gross Exports",14236.58460588
"H4","251","FRA","France+Monac","180632","000","WLD","World",2017,"Gross Exports",233146.902419343
"H4","268","GEO","Georgia","180632","000","WLD","World",2017,"Gross Exports",391.76729
"H4","275","PSE","Occ.Pal.Terr","180632","000","WLD","World",2017,"Gross Exports",579.971522593564
"H4","276","DEU","Germany","180632","000","WLD","World",2017,"Gross Exports",1140339.022309
"H4","288","GHA","Ghana","180632","000","WLD","World",2017,"Gross Exports",6420.1566413875
"H4","300","GRC","Greece","180632","000","WLD","World",2017,"Gross Exports",7099.381121976
