"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","012","DZA","Algeria","180632","000","WLD","World",2014,"Gross Exports",6.458
"H4","032","ARG","Argentina","180632","000","WLD","World",2014,"Gross Exports",5794.51455
"H4","036","AUS","Australia","180632","000","WLD","World",2014,"Gross Exports",21282.578
"H4","040","AUT","Austria","180632","000","WLD","World",2014,"Gross Exports",202864.295740403
"H4","048","BHR","Bahrain","180632","000","WLD","World",2014,"Gross Exports",114.837
"H4","051","ARM","Armenia","180632","000","WLD","World",2014,"Gross Exports",42.894
"H4","056","BEL","Belgium","180632","000","WLD","World",2014,"Gross Exports",281015.1135925
"H4","068","BOL","Bolivia","180632","000","WLD","World",2014,"Gross Exports",99.98584
"H4","070","BIH","Bosnia Herzg","180632","000","WLD","World",2014,"Gross Exports",4859.871
"H4","072","BWA","Botswana","180632","000","WLD","World",2014,"Gross Exports",0.00368517204
"H4","076","BRA","Brazil","180632","000","WLD","World",2014,"Gross Exports",25401.013
"H4","096","BRN","Brunei Darsm","180632","000","WLD","World",2014,"Gross Exports",5.271
"H4","097","EUN","European Union","180632","000","WLD","World",2014,"Gross Exports",649220.299955
"H4","100","BGR","Bulgaria","180632","000","WLD","World",2014,"Gross Exports",42972.296
"H4","112","BLR","Belarus","180632","000","WLD","World",2014,"Gross Exports",9526.8
"H4","120","CMR","Cameroon","180632","000","WLD","World",2014,"Gross Exports",1136.797
"H4","124","CAN","Canada","180632","000","WLD","World",2014,"Gross Exports",174084.388
"H4","144","LKA","Sri Lanka","180632","000","WLD","World",2014,"Gross Exports",0.162
"H4","152","CHL","Chile","180632","000","WLD","World",2014,"Gross Exports",4537.52351
"H4","156","CHN","China","180632","000","WLD","World",2014,"Gross Exports",23940.063
"H4","170","COL","Colombia","180632","000","WLD","World",2014,"Gross Exports",10500.013
"H4","178","COG","Congo","180632","000","WLD","World",2014,"Gross Exports",1.52991068896
"H4","188","CRI","Costa Rica","180632","000","WLD","World",2014,"Gross Exports",1739.385
"H4","191","HRV","Croatia","180632","000","WLD","World",2014,"Gross Exports",45334.147
"H4","196","CYP","Cyprus","180632","000","WLD","World",2014,"Gross Exports",65.205486
"H4","203","CZE","Czech Rep","180632","000","WLD","World",2014,"Gross Exports",57866.696
