"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H5","024","AGO","Angola","180631","000","WLD","World",2021,"Gross Exports",6.144421
"H5","031","AZE","Azerbaijan","180631","000","WLD","World",2021,"Gross Exports",32.73769
"H5","032","ARG","Argentina","180631","000","WLD","World",2021,"Gross Exports",307.55556
"H5","036","AUS","Australia","180631","000","WLD","World",2021,"Gross Exports",38456.9665030508
"H5","040","AUT","Austria","180631","000","WLD","World",2021,"Gross Exports",206413.88859
"H5","048","BHR","Bahrain","180631","000","WLD","World",2021,"Gross Exports",897.470795
"H5","051","ARM","Armenia","180631","000","WLD","World",2021,"Gross Exports",977.68893
"H5","052","BRB","Barbados","180631","000","WLD","World",2021,"Gross Exports",147.737
"H5","056","BEL","Belgium","180631","000","WLD","World",2021,"Gross Exports",125856.462769
"H5","068","BOL","Bolivia","180631","000","WLD","World",2021,"Gross Exports",341.24254
"H5","070","BIH","Bosnia Herzg","180631","000","WLD","World",2021,"Gross Exports",1183.1099
"H5","072","BWA","Botswana","180631","000","WLD","World",2021,"Gross Exports",0.116619
"H5","076","BRA","Brazil","180631","000","WLD","World",2021,"Gross Exports",7189.513
"H5","084","BLZ","Belize","180631","000","WLD","World",2021,"Gross Exports",11.98395
"H5","096","BRN","Brunei Darsm","180631","000","WLD","World",2021,"Gross Exports",103.30919
"H5","097","EUN","European Union","180631","000","WLD","World",2021,"Gross Exports",1239879.845936
"H5","100","BGR","Bulgaria","180631","000","WLD","World",2021,"Gross Exports",46814.1246417151
"H5","112","BLR","Belarus","180631","000","WLD","World",2021,"Gross Exports",36647.5
"H5","120","CMR","Cameroon","180631","000","WLD","World",2021,"Gross Exports",769.72093
"H5","124","CAN","Canada","180631","000","WLD","World",2021,"Gross Exports",233866.604359
"H5","132","CPV","Cape Verde","180631","000","WLD","World",2021,"Gross Exports",69.007562
"H5","144","LKA","Sri Lanka","180631","000","WLD","World",2021,"Gross Exports",1557.21539711556
"H5","152","CHL","Chile","180631","000","WLD","World",2021,"Gross Exports",4079.47500148979
"H5","156","CHN","China","180631","000","WLD","World",2021,"Gross Exports",73833.467
"H5","170","COL","Colombia","180631","000","WLD","World",2021,"Gross Exports",6738.49702
"H5","188","CRI","Costa Rica","180631","000","WLD","World",2021,"Gross Exports",1167.6629
"H5","191","HRV","Croatia","180631","000","WLD","World",2021,"Gross Exports",100208.223
"H5","196","CYP","Cyprus","180631","000","WLD","World",2021,"Gross Exports",93.149079
"H5","203","CZE","Czech Rep","180631","000","WLD","World",2021,"Gross Exports",60213.044
"H5","208","DNK","Denmark","180631","000","WLD","World",2021,"Gross Exports",40218.863268
"H5","214","DOM","Dominican Rp","180631","000","WLD","World",2021,"Gross Exports",246.24934
"H5","218","ECU","Ecuador","180631","000","WLD","World",2021,"Gross Exports",133.64936
"H5","222","SLV","El Salvador","180631","000","WLD","World",2021,"Gross Exports",12.09775
"H5","233","EST","Estonia","180631","000","WLD","World",2021,"Gross Exports",2066.14553
"H5","242","FJI","Fiji","180631","000","WLD","World",2021,"Gross Exports",2.07714223002
"H5","246","FIN","Finland","180631","000","WLD","World",2021,"Gross Exports",9042.06859379496
"H5","251","FRA","France+Monac","180631","000","WLD","World",2021,"Gross Exports",91554.215972
"H5","258","PYF","Fr.Polynesia","180631","000","WLD","World",2021,"Gross Exports",10.683158
"H5","266","GAB","Gabon","180631","000","WLD","World",2021,"Gross Exports",1.091951
"H5","268","GEO","Georgia","180631","000","WLD","World",2021,"Gross Exports",312.93874
"H5","276","DEU","Germany","180631","000","WLD","World",2021,"Gross Exports",1159004.13375749
"H5","288","GHA","Ghana","180631","000","WLD","World",2021,"Gross Exports",30.641906
"H5","300","GRC","Greece","180631","000","WLD","World",2021,"Gross Exports",6322.204677
"H5","320","GTM","Guatemala","180631","000","WLD","World",2021,"Gross Exports",163.992
"H5","328","GUY","Guyana","180631","000","WLD","World",2021,"Gross Exports",0.004
"H5","344","HKG","Hong Kong","180631","000","WLD","World",2021,"Gross Exports",10629.5518799327
"H5","348","HUN","Hungary","180631","000","WLD","World",2021,"Gross Exports",66366.607
"H5","352","ISL","Iceland","180631","000","WLD","World",2021,"Gross Exports",592.8216849564
"H5","360","IDN","Indonesia","180631","000","WLD","World",2021,"Gross Exports",2094.51404
"H5","364","IRN","Iran-Islam.R","180631","000","WLD","World",2021,"Gross Exports",0.251
"H5","372","IRL","Ireland","180631","000","WLD","World",2021,"Gross Exports",35503.430027
"H5","376","ISR","Israel","180631","000","WLD","World",2021,"Gross Exports",980
"H5","380","ITA","Italy","180631","000","WLD","World",2021,"Gross Exports",194978.170050399
"H5","384","CIV","Cote Divoire","180631","000","WLD","World",2021,"Gross Exports",5.699538
"H5","388","JAM","Jamaica","180631","000","WLD","World",2021,"Gross Exports",0.5151
"H5","392","JPN","Japan","180631","000","WLD","World",2021,"Gross Exports",24212.20841625
"H5","398","KAZ","Kazakhstan","180631","000","WLD","World",2021,"Gross Exports",3293.37529
"H5","400","JOR","Jordan","180631","000","WLD","World",2021,"Gross Exports",1673.29009357168
"H5","404","KEN","Kenya","180631","000","WLD","World",2021,"Gross Exports",44.5250472178668
"H5","410","KOR","Korea Rep.","180631","000","WLD","World",2021,"Gross Exports",5386.396
"H5","414","KWT","Kuwait","180631","000","WLD","World",2021,"Gross Exports",436.189
"H5","417","KGZ","Kyrgyzstan","180631","000","WLD","World",2021,"Gross Exports",1439.668
"H5","422","LBN","Lebanon","180631","000","WLD","World",2021,"Gross Exports",10716.492
"H5","426","LSO","Lesotho","180631","000","WLD","World",2021,"Gross Exports",0.28579281575
"H5","428","LVA","Latvia","180631","000","WLD","World",2021,"Gross Exports",11289.693873
"H5","440","LTU","Lithuania","180631","000","WLD","World",2021,"Gross Exports",39794.174
"H5","442","LUX","Luxemberg","180631","000","WLD","World",2021,"Gross Exports",1391.94470521974
"H5","446","MAC","Macau","180631","000","WLD","World",2021,"Gross Exports",14.38093032974
"H5","450","MDG","Madagascar","180631","000","WLD","World",2021,"Gross Exports",42.130787
