"Nomenclature","ReporterCode","ReporterISO3","ReporterName","ProductCode","PartnerCode","PartnerISO3","PartnerName","Year","TradeFlowName","TradeValue in 1000 USD"
"H4","008","ALB","Albania","180632","000","WLD","World",2016,"Gross Exports",2.302
"H4","012","DZA","Algeria","180632","000","WLD","World",2016,"Gross Exports",11.385
"H4","020","AND","Andorra","180632","000","WLD","World",2016,"Gross Exports",1.3993593166614
"H4","024","AGO","Angola","180632","000","WLD","World",2016,"Gross Exports",0.08998
"H4","032","ARG","Argentina","180632","000","WLD","World",2016,"Gross Exports",6688.82914
"H4","036","AUS","Australia","180632","000","WLD","World",2016,"Gross Exports",23443.026
"H4","040","AUT","Austria","180632","000","WLD","World",2016,"Gross Exports",154467.167341599
"H4","048","BHR","Bahrain","180632","000","WLD","World",2016,"Gross Exports",125.2661725312
"H4","051","ARM","Armenia","180632","000","WLD","World",2016,"Gross Exports",127.311
"H4","056","BEL","Belgium","180632","000","WLD","World",2016,"Gross Exports",263950.391677521
"H4","068","BOL","Bolivia","180632","000","WLD","World",2016,"Gross Exports",129.45483
"H4","070","BIH","Bosnia Herzg","180632","000","WLD","World",2016,"Gross Exports",4114.477
"H4","072","BWA","Botswana","180632","000","WLD","World",2016,"Gross Exports",0.193
"H4","076","BRA","Brazil","180632","000","WLD","World",2016,"Gross Exports",25447.951
"H4","096","BRN","Brunei Darsm","180632","000","WLD","World",2016,"Gross Exports",0.042
"H4","097","EUN","European Union","180632","000","WLD","World",2016,"Gross Exports",613630.731754
"H4","100","BGR","Bulgaria","180632","000","WLD","World",2016,"Gross Exports",49085.6482022234
"H4","112","BLR","Belarus","180632","000","WLD","World",2016,"Gross Exports",8801.4
"H4","120","CMR","Cameroon","180632","000","WLD","World",2016,"Gross Exports",1382.859
"H4","124","CAN","Canada","180632","000","WLD","World",2016,"Gross Exports",246953.483872441
"H4","144","LKA","Sri Lanka","180632","000","WLD","World",2016,"Gross Exports",0.665
"H4","152","CHL","Chile","180632","000","WLD","World",2016,"Gross Exports",3753.297
"H4","156","CHN","China","180632","000","WLD","World",2016,"Gross Exports",23927.875
"H4","170","COL","Colombia","180632","000","WLD","World",2016,"Gross Exports",9393.481
"H4","178","COG","Congo","180632","000","WLD","World",2016,"Gross Exports",0.36894065195
"H4","188","CRI","Costa Rica","180632","000","WLD","World",2016,"Gross Exports",2008.1984
"H4","191","HRV","Croatia","180632","000","WLD","World",2016,"Gross Exports",50896.151
"H4","196","CYP","Cyprus","180632","000","WLD","World",2016,"Gross Exports",170.790705
"H4","203","CZE","Czech Rep","180632","000","WLD","World",2016,"Gross Exports",46510.394
"H4","204","BEN","Benin","180632","000","WLD","World",2016,"Gross Exports",50.89547048339
"H4","208","DNK","Denmark","180632","000","WLD","World",2016,"Gross Exports",21867.1706263562
"H4","214","DOM","Dominican Rp","180632","000","WLD","World",2016,"Gross Exports",1240.66353258121
"H4","218","ECU","Ecuador","180632","000","WLD","World",2016,"Gross Exports",1664.781
"H4","222","SLV","El Salvador","180632","000","WLD","World",2016,"Gross Exports",1597.28786
"H4","233","EST","Estonia","180632","000","WLD","World",2016,"Gross Exports",2810.28698307743
"H4","242","FJI","Fiji","180632","000","WLD","World",2016,"Gross Exports",0.9712903248
"H4","246","FIN","Finland","180632","000","WLD","World",2016,"Gross Exports",14664.959
"H4","251","FRA","France+Monac","180632","000","WLD","World",2016,"Gross Exports",217840.752
"H4","268","GEO","Georgia","180632","000","WLD","World",2016,"Gross Exports",73.6588
"H4","275","PSE","Occ.Pal.Terr","180632","000","WLD","World",2016,"Gross Exports",735.29
"H4","276","DEU","Germany","180632","000","WLD","World",2016,"Gross Exports",1020247.50617414
"H4","288","GHA","Ghana","180632","000","WLD","World",2016,"Gross Exports",4.646
"H4","300","GRC","Greece","180632","000","WLD","World",2016,"Gross Exports",5337.25
"H4","320","GTM","Guatemala","180632","000","WLD","World",2016,"Gross Exports",124.674
"H4","344","HKG","Hong Kong","180632","000","WLD","World",2016,"Gross Exports",10002.690530811
"H4","348","HUN","Hungary","180632","000","WLD","World",2016,"Gross Exports",16956.213
